Date,Value
3/9/2021,112.38
3/10/2021,112.51
3/11/2021,111.78
3/12/2021,110.65
3/13/2021,110.08
3/14/2021,109.71
3/15/2021,108.48
3/16/2021,107.58
3/17/2021,107.45
3/18/2021,106.79
3/19/2021,106.34
3/20/2021,106.53
3/21/2021,106.67
3/22/2021,105.73
3/23/2021,104.71
3/24/2021,104.43
3/25/2021,104.48
3/26/2021,105.09
3/27/2021,104.81
3/28/2021,104.78
3/29/2021,104.35
3/30/2021,103.46
3/31/2021,102.19
4/1/2021,102.94
4/2/2021,103.04
4/3/2021,102.69
4/4/2021,102.7
4/5/2021,102.19
4/6/2021,101.17
4/7/2021,100.44
4/8/2021,99.93
4/9/2021,99.72
4/10/2021,100.05
4/11/2021,99.2
4/12/2021,98.06
4/13/2021,98.33
4/14/2021,97.93
4/15/2021,97.89
4/16/2021,98.41
4/17/2021,98.58
4/18/2021,99.61
4/19/2021,100.45
4/20/2021,100.02
4/21/2021,101.19
4/22/2021,101.87
4/23/2021,102.19
4/24/2021,102.86
4/25/2021,102.97
4/26/2021,103
4/27/2021,103.24
4/28/2021,102.67
4/29/2021,102.26
4/30/2021,102.27
5/1/2021,105.62
5/2/2021,108.26
5/3/2021,107.04
5/4/2021,106.15
5/5/2021,106.46
5/6/2021,106.99
5/7/2021,107.83
5/8/2021,109.61
5/9/2021,110.36
5/10/2021,109.59
5/11/2021,110.28
5/12/2021,111.7
5/13/2021,112.56
5/14/2021,113.72
5/15/2021,114.6
5/16/2021,114.73
5/17/2021,114.72
5/18/2021,115.16
5/19/2021,115.67
5/20/2021,115.24
5/21/2021,116.17
5/22/2021,117.07
5/23/2021,116.83
5/24/2021,115.83
5/25/2021,115.22
5/26/2021,115.57
5/27/2021,116.89
5/28/2021,119.01
5/29/2021,119.92
5/30/2021,119.57
5/31/2021,118.89
6/1/2021,119.23
6/2/2021,121.5
6/3/2021,124.49
6/4/2021,132.06
6/5/2021,152.87
6/6/2021,160.22
6/7/2021,163.66
6/8/2021,161.99
6/9/2021,160.19
6/10/2021,158.75
6/11/2021,156.45
6/12/2021,152.92
6/13/2021,149.35
6/14/2021,146.22
6/15/2021,143.02
6/16/2021,139.71
6/17/2021,136.33
6/18/2021,133.52
6/19/2021,131.54
6/20/2021,129.7
6/21/2021,127.56
6/22/2021,125.29
6/23/2021,123.57
6/24/2021,120.73
6/25/2021,119.07
6/26/2021,118.25
6/27/2021,117.47
6/28/2021,115.05
6/29/2021,113.21
6/30/2021,111.49
7/1/2021,110.36
7/2/2021,109.97
7/3/2021,109.81
7/4/2021,109.51
7/5/2021,108.69
7/6/2021,107.83
7/7/2021,106.92
7/8/2021,106.72
7/9/2021,105.53
7/10/2021,105.07
7/11/2021,104.8
7/12/2021,104
7/13/2021,104.18
7/14/2021,104.09
7/15/2021,103.94
7/16/2021,103.43
7/17/2021,104.05
7/18/2021,104.18
7/19/2021,103.08
7/20/2021,102.11
7/21/2021,101.93
7/22/2021,101
7/23/2021,101.22
7/24/2021,100.54
7/25/2021,100.65
7/26/2021,100.57
7/27/2021,99.8
7/28/2021,99.44
7/29/2021,98.82
7/30/2021,98.44
7/31/2021,98.88
8/1/2021,99.78
8/2/2021,98.78
8/3/2021,98.14
8/4/2021,98.36
8/5/2021,98.18
8/6/2021,97.85
8/7/2021,98.12
8/8/2021,98.62
8/9/2021,98.41
8/10/2021,98.2
8/11/2021,98.16
8/12/2021,98.01
8/13/2021,98.27
8/14/2021,98.52
8/15/2021,98.6
8/16/2021,98.13
8/17/2021,97.59
8/18/2021,96.14
8/19/2021,95.41
8/20/2021,95.47
8/21/2021,95.12
8/22/2021,95.57
8/23/2021,94.96
8/24/2021,95.08
8/25/2021,94.92
8/26/2021,94.87
8/27/2021,94.7
8/28/2021,95.64
8/29/2021,96.95
8/30/2021,96.66
8/31/2021,95.75
9/1/2021,95.66
9/2/2021,94.76
9/3/2021,96.59
9/4/2021,100.47
9/5/2021,101.17
9/6/2021,100.93
9/7/2021,99.53
9/8/2021,98.62
9/9/2021,97.8
9/10/2021,97.59
9/11/2021,97.93
9/12/2021,98.08
9/13/2021,97.85
9/14/2021,97.28
9/15/2021,96.95
9/16/2021,96.61
9/17/2021,96.02
9/18/2021,95.93
9/19/2021,95.8
9/20/2021,96.05
9/21/2021,96.9
9/22/2021,96.4
9/23/2021,96.28
9/24/2021,96.31
9/25/2021,96.15
9/26/2021,96.02
9/27/2021,95.37
9/28/2021,94.95
9/29/2021,95.03
9/30/2021,95.6
10/1/2021,96.26
10/2/2021,96.76
10/3/2021,96.66
10/4/2021,96.32
10/5/2021,96.22
10/6/2021,96.33
10/7/2021,95.96
10/8/2021,95.42
10/9/2021,96.2
10/10/2021,95.95
10/11/2021,95.33
10/12/2021,95.23
10/13/2021,95.17
10/14/2021,95.41
10/15/2021,95.9
10/16/2021,95.78
10/17/2021,96.35
10/18/2021,96.06
10/19/2021,96.12
10/20/2021,96.27
10/21/2021,96.57
10/22/2021,96.62
10/23/2021,96.46
10/24/2021,96.24
10/25/2021,96.01
10/26/2021,96.08
10/27/2021,96.12
10/28/2021,96.03
10/29/2021,96.37
10/30/2021,97.18
10/31/2021,97.1
11/1/2021,97.19
11/2/2021,97.84
11/3/2021,98.69
11/4/2021,99.18
11/5/2021,99.09
11/6/2021,99.45
11/7/2021,99.47
11/8/2021,99.17
11/9/2021,99.19
11/10/2021,99.49
11/11/2021,100.02
11/12/2021,100.09
11/13/2021,100.36
11/14/2021,100.16
11/15/2021,99.82
11/16/2021,99.82
11/17/2021,99.83
11/18/2021,99.62
11/19/2021,99.66
11/20/2021,99.51
11/21/2021,98.97
11/22/2021,98.31
11/23/2021,97.9
11/24/2021,98.05
11/25/2021,97.85
11/26/2021,97.77
11/27/2021,97.92
11/28/2021,97.89
11/29/2021,97.52
11/30/2021,97.64
12/1/2021,97.49
12/2/2021,97.16
12/3/2021,97.44
12/4/2021,97.84
12/5/2021,97.54
12/6/2021,97.1
12/7/2021,97.06
12/8/2021,96.96
12/9/2021,97.32
12/10/2021,98.03
12/11/2021,99.04
12/12/2021,98.93
12/13/2021,98.61
12/14/2021,98.28
12/15/2021,98.35
12/16/2021,98.37
12/17/2021,98.33
12/18/2021,98.92
12/19/2021,99.18
12/20/2021,98.75
12/21/2021,98.61
12/22/2021,98.31
12/23/2021,98.54
12/24/2021,99.22
12/25/2021,100.47
12/26/2021,101.02
12/27/2021,101.14
12/28/2021,101.57
12/29/2021,101.93
12/30/2021,104.69
12/31/2021,106.44
1/1/2022,107.3
1/2/2022,106.67
1/3/2022,105.67
1/4/2022,105.09
1/5/2022,105.12
1/6/2022,104.82
1/7/2022,104.34
1/8/2022,104.55
1/9/2022,104.12
1/10/2022,103.01
1/11/2022,102.34
1/12/2022,102.23
1/13/2022,102.54
1/14/2022,102.59
1/15/2022,102.69
1/16/2022,103.09
1/17/2022,102.07
1/18/2022,101.31
1/19/2022,100.68
1/20/2022,100.33
1/21/2022,100.41
1/22/2022,100.96
1/23/2022,100.83
1/24/2022,100.92
1/25/2022,101
1/26/2022,100.77
1/27/2022,100.59
1/28/2022,101.03
1/29/2022,101.63
1/30/2022,101.44
1/31/2022,101.12
2/1/2022,100.77
2/2/2022,100.3
2/3/2022,100.23
2/4/2022,100.18
2/5/2022,101.36
2/6/2022,101.6
2/7/2022,101.62
2/8/2022,101.88
2/9/2022,101.72
2/10/2022,101.51
2/11/2022,101.2
2/12/2022,102.05
2/13/2022,101.62
2/14/2022,100.36
2/15/2022,99.61
2/16/2022,99.54
2/17/2022,99.25
2/18/2022,98.99
2/19/2022,99.28
2/20/2022,99.64
2/21/2022,98.9
2/22/2022,98.36
2/23/2022,98.22
2/24/2022,98.71
2/25/2022,98.67
2/26/2022,98.49
2/27/2022,98.67
2/28/2022,99
3/1/2022,99.6
3/2/2022,99.93
3/3/2022,100.66
3/4/2022,101.81
3/5/2022,103.12
3/6/2022,103.67
3/7/2022,103.7
3/8/2022,104.86
3/9/2022,106.49